Month	Passengers
01/95	112
02/95	118
03/95	132
04/95	129
05/95	121
06/95	135
07/95	148
08/95	148
09/95	136
10/95	119
11/95	104
12/95	118
01/96	115
02/96	126
03/96	141
04/96	135
05/96	125
06/96	149
07/96	170
08/96	170
09/96	158
10/96	133
11/96	114
12/96	140
01/97	145
02/97	150
03/97	178
04/97	163
05/97	172
06/97	178
07/97	199
08/97	199
09/97	184
10/97	162
11/97	146
12/97	166
01/98	171
02/98	180
03/98	193
04/98	181
05/98	183
06/98	218
07/98	230
08/98	242
09/98	209
10/98	191
11/98	172
12/98	194
01/99	196
02/99	196
03/99	236
04/99	235
05/99	229
06/99	243
07/99	264
08/99	272
09/99	237
10/99	211
11/99	180
12/99	201
01/00	204
02/00	188
03/00	235
04/00	227
05/00	234
06/00	264
07/00	302
08/00	293
09/00	259
10/00	229
11/00	203
12/00	229
01/01	242
02/01	233
03/01	267
04/01	269
05/01	270
06/01	315
07/01	364
08/01	347
09/01	312
10/01	274
11/01	237
12/01	278
01/02	284
02/02	277
03/02	317
04/02	313
05/02	318
06/02	374
07/02	413
08/02	405
09/02	355
10/02	306
11/02	271
12/02	306
